,height,number,rate
172,172,146.0,4.9506293402777776e-08
173,173,6015.0,2.0395914713541665e-06
174,174,1217.0,4.1266547309027777e-07
175,175,3854.0,1.3068305121527777e-06
176,176,0.0,0.0
177,177,2792.0,9.467230902777778e-07
178,178,1695.0,5.747477213541667e-07
179,179,3457.0,1.1722140842013889e-06
180,180,2405.0,8.154975043402778e-07
181,181,996.0,3.3772786458333335e-07
182,182,542.0,1.8378363715277778e-07
183,183,1243.0,4.214816623263889e-07
184,184,2001.0,6.785074869791667e-07
185,185,1591.0,5.394829644097222e-07
186,186,1085.0,3.6790635850694444e-07
187,187,854.0,2.895779079861111e-07
188,188,967.0,3.2789442274305553e-07
189,189,2293.0,7.775200737847222e-07
190,190,1117.0,3.787570529513889e-07
191,191,2.0,6.781684027777778e-10
192,192,2299.0,7.795545789930556e-07
193,193,2286.0,7.75146484375e-07
194,194,0.0,0.0
195,195,1265.0,4.2894151475694444e-07
196,196,1402.0,4.753960503472222e-07
197,197,28.0,9.49435763888889e-09
198,198,1326.0,4.4962565104166665e-07
199,199,28.0,9.49435763888889e-09
200,200,705.0,2.3905436197916665e-07
201,201,1832.0,6.212022569444445e-07
202,202,1025.0,3.475613064236111e-07
203,203,753.0,2.553304036458333e-07
204,204,1006.0,3.411187065972222e-07
205,205,1315.0,4.458957248263889e-07
206,206,1429.0,4.845513237847223e-07
207,207,370.0,1.254611545138889e-07
208,208,1923.0,6.520589192708333e-07
209,209,136.0,4.611545138888889e-08
210,210,1011.0,3.4281412760416666e-07
211,211,185.0,6.273057725694445e-08
212,212,119.0,4.035101996527778e-08
213,213,669.0,2.2684733072916667e-07
214,214,0.0,0.0
215,215,309.0,1.0477701822916667e-07
216,216,520.0,1.7632378472222221e-07
217,217,1087.0,3.685845269097222e-07
218,218,1143.0,3.875732421875e-07
219,219,25.0,8.477105034722222e-09
220,220,1920.0,6.510416666666666e-07
221,221,401.0,1.3597276475694444e-07
222,222,551.0,1.8683539496527779e-07
223,223,989.0,3.353542751736111e-07
224,224,1883.0,6.384955512152777e-07
225,225,0.0,0.0
226,226,2181.0,7.395426432291666e-07
227,227,0.0,0.0
228,228,7491.0,2.540079752604167e-06
229,229,1439.0,4.879421657986111e-07
230,230,2107.0,7.144504123263889e-07
231,231,1206.0,4.08935546875e-07
232,232,11437.0,3.878106011284723e-06
233,233,0.0,0.0
234,234,72.0,2.44140625e-08
235,235,1023.0,3.4688313802083335e-07
236,236,0.0,0.0
237,237,930.0,3.1534830729166666e-07
238,238,0.0,0.0
239,239,821.0,2.783881293402778e-07
240,240,344.0,1.1664496527777777e-07
241,241,0.0,0.0
242,242,555.0,1.8819173177083333e-07
243,243,0.0,0.0
244,244,0.0,0.0
245,245,0.0,0.0
246,246,706.0,2.3939344618055554e-07
247,247,1134.0,3.84521484375e-07
248,248,0.0,0.0
249,249,272.0,9.223090277777778e-08
250,250,6381.0,2.1636962890625e-06
251,251,0.0,0.0
252,252,571.0,1.9361707899305555e-07
253,253,0.0,0.0
254,254,387.0,1.312255859375e-07
255,255,155373.0,5.268452962239583e-05
